gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.003,0,0,3,10,1422639.0,0.0,5886865,4223273,0
0.003,0,1,3,10,2983537.0,0.0,5973037,2748273,0
0.003,0,2,3,10,2982559.0,0.0,6014832,2797401,0
0.003,0,3,3,10,1566959.0,0.0,5934973,4126727,0
0.003,0,4,3,10,0.0,0.0,6085488,5844528,0
0.003,0,5,3,10,1609077.0,0.0,5834790,3990668,0
0.003,0,6,3,10,2982958.0,0.0,5762342,2538411,0
0.003,0,7,3,10,1386930.0,2015.0,6250181,4622296,0.0014528490983683386
0.003,0,8,3,10,12095.0,7589.0,6211354,5958053,0.6274493592393551
0.003,0,9,3,10,2988129.0,0.0,6201447,2972503,0
0.003,1,0,3,10,2778062.0,0.0,6013812,2988952,0
0.003,1,1,3,10,2970992.0,0.0,6099394,2887334,0
0.003,1,2,3,10,2994367.0,0.0,6050959,2809518,0
0.003,1,3,3,10,198359.0,0.0,5948408,5509369,0
0.003,1,4,3,10,0.0,0.0,5936092,5689107,0
0.003,1,5,3,10,2987808.0,0.0,6146407,2911346,0
0.003,1,6,3,10,2987686.0,0.0,5977046,2753732,0
0.003,1,7,3,10,0.0,0.0,6127210,5886283,0
0.003,1,8,3,10,12085.0,4545.0,5689049,5435836,0.376086057095573
0.003,1,9,3,10,2989025.0,0.0,5948069,2717712,0
0.003,2,0,3,10,1318691.0,0.0,5832549,4272476,0
0.003,2,1,3,10,2989709.0,0.0,5974119,2749104,0
0.003,2,2,3,10,2977561.0,0.0,5858401,2633630,0
0.003,2,3,3,10,1668991.0,0.0,6140212,4236430,0
0.003,2,4,3,10,12029.0,4495.5,5645810,5392859,0.37372183888935073
0.003,2,5,3,10,1764828.0,0.0,6019092,4013273,0
0.003,2,6,3,10,2982328.0,0.0,6019871,2796923,0
0.003,2,7,3,10,1216889.0,2009.3333333333333,6118688,4655090,0.0016512051085459177
0.003,2,8,3,10,0.0,0.0,5967472,5726263,0
0.003,2,9,3,10,2988039.0,0.0,5832464,2603351,0
0.003,3,0,3,10,2982356.0,2011.0000000000002,5832366,2615224,0.0006742991111725093
0.003,3,1,3,10,2976049.0,0.0,6043158,2825880,0
0.003,3,2,3,10,2988649.0,0.0,5815121,2579221,0
0.003,3,3,3,10,0.0,0.0,6176935,5929830,0
0.003,3,4,3,10,5995.0,1498.75,5755096,5508070,0.25
0.003,3,5,3,10,2983323.0,0.0,6050874,2820615,0
0.003,3,6,3,10,2994473.0,0.0,5989155,2747503,0
0.003,3,7,3,10,12073.0,6005.0,6116170,5857084,0.49739087219415223
0.003,3,8,3,10,0.0,0.0,5823490,5582223,0
0.003,3,9,3,10,2982747.0,0.0,5785291,2567269,0
0.003,4,0,3,10,0.0,0.0,5859656,5612369,0
0.003,4,1,3,10,2989137.0,0.0,5996582,2766294,0
0.003,4,2,3,10,2983994.0,6043.000000000001,5984874,2765711,0.002025138120250912
0.003,4,3,3,10,2984224.0,0.0,5840397,2608771,0
0.003,4,4,3,10,12019.0,1514.0,5603997,5350665,0.12596721857059656
0.003,4,5,3,10,927954.0,0.0,5755341,4586317,0
0.003,4,6,3,10,2990195.0,0.0,6111252,2892198,0
0.003,4,7,3,10,2048915.0,0.0,5900930,3610650,0
