transmitting,holding,state,prob,loosing,rate
1,0,t,2.3759779749649205e-05,0,333.33
1,1,t,2.2628348735712655e-05,0,333.33
1,2,t,2.155079600486607e-05,0,333.33
1,3,t,2.0524555895236725e-05,0,333.33
1,4,t,1.9547184920768227e-05,0,333.33
1,5,t,1.8616355953178478e-05,0,333.33
1,6,t,1.772985268111992e-05,0,333.33
1,7,t,1.6885564333019234e-05,0,333.33
1,8,t,1.608148065145334e-05,0,333.33
1,9,t,1.531568710663271e-05,0,333.33
1,10,t,1.4586360337832781e-05,0,333.33
1,11,t,1.389176381208775e-05,0,333.33
1,12,t,1.3230243689388569e-05,0,333.33
1,13,t,1.2600224884924914e-05,0,333.33
1,14,t,1.2000207318809234e-05,0,333.33
1,15,t,1.1428762344260406e-05,0,333.33
1,16,t,1.0884529346157822e-05,0,333.33
1,17,t,1.0366212501310516e-05,0,333.33
1,18,t,9.87257769303412e-06,0,333.33
1,19,t,9.402449572882508e-06,0,333.33
1,20,t,8.954708761903173e-06,0,333.33
1,21,t,8.528289185616077e-06,0,333.33
1,22,t,8.122175535497082e-06,0,333.33
1,23,t,7.735400851584813e-06,0,333.33
1,24,t,7.367044220326706e-06,0,333.33
1,25,t,7.016228581453673e-06,0,333.33
1,26,t,6.682118640170419e-06,0,333.33
1,27,t,6.363918877846217e-06,0,333.33
1,28,t,6.0608716583749715e-06,0,333.33
1,29,t,5.77225542380611e-06,0,333.33
1,30,t,5.497382976519469e-06,0,333.33
1,31,t,5.235599842977561e-06,0,333.33
1,32,t,4.986282715378046e-06,0,333.33
1,33,t,4.7488379676673835e-06,0,333.33
1,34,t,4.522700241935738e-06,0,333.33
1,35,t,4.307331102358517e-06,0,333.33
1,36,t,4.1022177533451784e-06,0,333.33
1,37,t,3.906871818274953e-06,0,333.33
1,38,t,3.720828176904282e-06,0,333.33
1,39,t,3.5436438578397023e-06,0,333.33
1,40,t,3.3748969836798738e-06,0,333.33
1,41,t,3.2141857667879396e-06,0,333.33
1,42,t,3.0611275525011964e-06,0,333.33
1,43,t,2.915357907865799e-06,0,333.33
1,44,t,2.7765297541886746e-06,0,333.33
1,45,t,2.6443125405707367e-06,0,333.33
1,46,t,2.5183914567182605e-06,0,333.33
1,47,t,2.3984666834184812e-06,0,333.33
1,48,t,2.284252678918553e-06,0,333.33
1,49,t,2.175477498731008e-06,0,333.33
1,50,t,2.071882148150543e-06,0,333.33
1,50,t,4.14371457127011e-05,1,333.33
2,0,c,1.4111605590187373e-05,0,333.33
2,1,c,1.3439616691782733e-05,0,333.33
2,2,c,1.2799627630448851e-05,0,333.33
2,3,c,1.2190114587004072e-05,0,333.33
2,4,c,1.1609626305816537e-05,0,333.33
2,5,c,1.1056780639677643e-05,0,333.33
2,6,c,1.0530261258623987e-05,0,333.33
2,7,c,1.0028814515478795e-05,0,333.33
2,8,c,9.551246461565304e-06,0,333.33
2,9,c,9.096420003364179e-06,0,333.33
2,10,c,8.663252195623861e-06,0,333.33
2,11,c,8.250711662029571e-06,0,333.33
2,12,c,7.85781614024557e-06,0,333.33
2,13,c,7.483630142897705e-06,0,333.33
2,14,c,7.12726273005014e-06,0,333.33
2,15,c,6.787865387942166e-06,0,333.33
2,16,c,6.464630008654918e-06,0,333.33
2,17,c,6.15678696627084e-06,0,333.33
2,18,c,5.8636032839079755e-06,0,333.33
2,19,c,5.584380888718962e-06,0,333.33
2,20,c,5.318454950233892e-06,0,333.33
2,21,c,5.065192296226309e-06,0,333.33
2,22,c,4.8239899064482485e-06,0,333.33
2,23,c,4.59427347597237e-06,0,333.33
2,24,c,4.375496048306381e-06,0,333.33
2,25,c,4.167136712328226e-06,0,333.33
2,26,c,3.968699363043048e-06,0,333.33
2,27,c,3.779711519248132e-06,0,333.33
2,28,c,3.59972319946893e-06,0,333.33
2,29,c,3.428305850025752e-06,0,333.33
2,30,c,3.265051324696946e-06,0,333.33
2,31,c,3.1095709132180446e-06,0,333.33
2,32,c,2.9614944156101836e-06,0,333.33
2,33,c,2.820469260269033e-06,0,333.33
2,34,c,2.6861596653420953e-06,0,333.33
2,35,c,2.558245838437547e-06,0,333.33
2,36,c,2.4364232157603503e-06,0,333.33
2,37,c,2.3204017367127606e-06,0,333.33
2,38,c,2.2099051530657642e-06,0,333.33
2,39,c,2.104670371714975e-06,0,333.33
2,40,c,2.0044468275722787e-06,0,333.33
2,41,c,1.9089958877933487e-06,0,333.33
2,42,c,1.8180902827308096e-06,0,333.33
2,43,c,1.731513565620132e-06,0,333.33
2,44,c,1.6490595962730044e-06,0,333.33
2,45,c,1.5705320514582223e-06,0,333.33
2,46,c,1.4957439562046581e-06,0,333.33
2,47,c,1.4245172395633737e-06,0,333.33
2,48,c,1.3566823099814335e-06,0,333.33
2,49,c,1.2920776520900692e-06,0,333.33
2,50,c,1.2305494416330597e-06,0,333.33
2,50,c,2.4610693502520215e-05,1,333.33
3,0,c,1.585530822797028e-05,0,333.33
3,1,c,1.5100284921660807e-05,0,333.33
3,2,c,1.4381215516817927e-05,0,333.33
3,3,c,1.3696387903776563e-05,0,333.33
3,4,c,1.3044171502114204e-05,0,333.33
3,5,c,1.2423013379135537e-05,0,333.33
3,6,c,1.1831434552651545e-05,0,333.33
3,7,c,1.1268026468293028e-05,0,333.33
3,8,c,1.0731447647140931e-05,0,333.33
3,9,c,1.0220420490171557e-05,0,333.33
3,10,c,9.733728237939893e-06,0,333.33
3,11,c,9.270212072042369e-06,0,333.33
3,12,c,8.828768356904278e-06,0,333.33
3,13,c,8.40834601128302e-06,0,333.33
3,14,c,8.00794400612165e-06,0,333.33
3,15,c,7.626608980986284e-06,0,333.33
3,16,c,7.263432974119004e-06,0,333.33
3,17,c,6.9175512605673895e-06,0,333.33
3,18,c,6.588140293042417e-06,0,333.33
3,19,c,6.274415741269063e-06,0,333.33
3,20,c,5.9756306245840785e-06,0,333.33
3,21,c,5.691073533338544e-06,0,333.33
3,22,c,5.420066934614172e-06,0,333.33
3,23,c,5.161965559454678e-06,0,333.33
3,24,c,4.916154866422979e-06,0,333.33
3,25,c,4.682049578250232e-06,0,333.33
3,26,c,4.459092288439833e-06,0,333.33
3,27,c,4.246752133629279e-06,0,333.33
3,28,c,4.044523530353943e-06,0,333.33
3,29,c,3.851924970626842e-06,0,333.33
3,30,c,3.66849787575981e-06,0,333.33
3,31,c,3.493805504277698e-06,0,333.33
3,32,c,3.327431912180898e-06,0,333.33
3,33,c,3.1689809626712218e-06,0,333.33
3,34,c,3.0180753825902357e-06,0,333.33
3,35,c,2.87435586478671e-06,0,333.33
3,36,c,2.7374802116593e-06,0,333.33
3,37,c,2.607122521310596e-06,0,333.33
3,38,c,2.4829724109399633e-06,0,333.33
3,39,c,2.3647342781151775e-06,0,333.33
3,40,c,2.252126597035782e-06,0,333.33
3,41,c,2.144881247740455e-06,0,333.33
3,42,c,2.0427428781162983e-06,0,333.33
3,43,c,1.9454682960467656e-06,0,333.33
3,44,c,1.8528258898646964e-06,0,333.33
3,45,c,1.764595077160513e-06,0,333.33
3,46,c,1.680565779825404e-06,0,333.33
3,47,c,1.6005379234198158e-06,0,333.33
3,48,c,1.5243209607187428e-06,0,333.33
3,49,c,1.4517334188408628e-06,0,333.33
3,50,c,1.3826024659224914e-06,0,333.33
3,50,c,2.765171749520889e-05,1,333.33
4,0,c,1.7820987553276533e-05,0,333.33
4,1,c,1.6972359399718376e-05,0,333.33
4,2,c,1.6164142572579952e-05,0,333.33
4,3,c,1.5394412700844184e-05,0,333.33
4,4,c,1.4661337051329144e-05,0,333.33
4,5,c,1.3963170165171506e-05,0,333.33
4,6,c,1.3298249700830573e-05,0,333.33
4,7,c,1.2664992478105367e-05,0,333.33
4,8,c,1.2061890705631396e-05,0,333.33
4,9,c,1.1487508393409555e-05,0,333.33
4,10,c,1.09404779324908e-05,0,333.33
4,11,c,1.041949683881402e-05,0,333.33
4,12,c,9.923324652106855e-06,0,333.33
4,13,c,9.450779982482852e-06,0,333.33
4,14,c,9.000737697054135e-06,0,333.33
4,15,c,8.57212624167056e-06,0,333.33
4,16,c,8.16392508882384e-06,0,333.33
4,17,c,7.77516230826498e-06,0,333.33
4,18,c,7.404912252707142e-06,0,333.33
4,19,c,7.052293353641621e-06,0,333.33
4,20,c,6.716466022589938e-06,0,333.33
4,21,c,6.396630652044131e-06,0,333.33
4,22,c,6.0920257112116575e-06,0,333.33
4,23,c,5.8019259332914406e-06,0,333.33
4,24,c,5.525640588407355e-06,0,333.33
4,25,c,5.262511838915026e-06,0,333.33
4,26,c,5.011913173079055e-06,0,333.33
4,27,c,4.7732479134602675e-06,0,333.33
4,28,c,4.545947796003915e-06,0,333.33
4,29,c,4.329471617400393e-06,0,333.33
4,30,c,4.123303946084352e-06,0,333.33
4,31,c,3.926953895149066e-06,0,333.33
4,32,c,3.739953953417739e-06,0,333.33
4,33,c,3.561858872597637e-06,0,333.33
4,34,c,3.3922446069197077e-06,0,333.33
4,35,c,3.2307073032788887e-06,0,333.33
4,36,c,3.076862340192297e-06,0,333.33
4,37,c,2.930343411328885e-06,0,333.33
4,38,c,2.7908016541958076e-06,0,333.33
4,39,c,2.657904818532644e-06,0,333.33
4,40,c,2.531336475976088e-06,0,333.33
4,41,c,2.410795266131436e-06,0,333.33
4,42,c,2.2959941795310065e-06,0,333.33
4,43,c,2.1866598738703765e-06,0,333.33
4,44,c,2.0825320230868444e-06,0,333.33
4,45,c,1.98336269815131e-06,0,333.33
4,46,c,1.888915776044046e-06,0,333.33
4,47,c,1.7989663776315568e-06,0,333.33
4,48,c,1.7133003331463669e-06,0,333.33
4,49,c,1.6317136704919737e-06,0,333.33
4,50,c,1.5540121315110213e-06,0,333.33
4,50,c,3.107986966829658e-05,1,333.33
5,0,c,2.0032183680509405e-05,0,333.33
5,1,c,1.9078259269945346e-05,0,333.33
5,2,c,1.8169760350587575e-05,0,333.33
5,3,c,1.730452377873617e-05,0,333.33
5,4,c,1.6480489419351178e-05,0,333.33
5,5,c,1.5695695240178722e-05,0,333.33
5,6,c,1.494827263914173e-05,0,333.33
