gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.003,0,0,1,10,982280.0,0.0,2097715,868062,0
0.003,0,1,1,10,983021.0,0.0,2110030,886236,0
0.003,0,2,1,10,988168.0,0.0,2041965,812751,0
0.003,0,3,1,10,0.0,0.0,2055969,1808874,0
0.003,0,4,1,10,0.0,0.0,2018548,1777596,0
0.003,0,5,1,10,994331.0,0.0,2043115,813810,0
0.003,0,6,1,10,988985.0,0.0,2000762,777151,0
0.003,0,7,1,10,6062.0,2020.6666666666665,2013204,1760396,0.3333333333333333
0.003,0,8,1,10,24106.0,4515.0,2086049,1814714,0.187297768190492
0.003,0,9,1,10,988809.0,0.0,2091410,855348,0
0.003,1,0,1,10,30062.0,3998.0000000000005,1964841,1693714,0.1329918169117158
0.003,1,1,1,10,988377.0,0.0,1988495,753231,0
0.003,1,2,1,10,987957.0,0.0,1812992,578499,0
0.003,1,3,1,10,970144.0,0.0,1964568,753304,0
0.003,1,4,1,10,0.0,0.0,1886061,1645368,0
0.003,1,5,1,10,12075.0,0.0,2073041,1813979,0
0.003,1,6,1,10,981863.0,0.0,1939441,710843,0
0.003,1,7,1,10,970258.0,0.0,1977314,766098,0
0.003,1,8,1,10,6056.0,1514.0,1886383,1639108,0.25
0.003,1,9,1,10,994359.0,0.0,1795860,566559,0
0.004,0,0,2,10,0.0,0.0,3218644,2971530,0
0.004,0,1,2,10,1989055.0,0.0,3092323,868183,0
0.004,0,2,2,10,1989745.0,0.0,2948190,723664,0
0.004,0,3,2,10,1982776.0,0.0,3217973,988370,0
0.004,0,4,2,10,5983.0,1495.75,2821093,2573640,0.25
0.004,0,5,2,10,416009.0,2018.3333333333333,2724861,2085244,0.004851657856761111
0.004,0,6,2,10,1989487.0,0.0,3050728,826022,0
0.004,0,7,2,10,1566430.0,0.0,3036556,1222937,0
0.004,0,8,2,10,0.0,0.0,3061382,2820823,0
0.004,0,9,2,10,1988157.0,0.0,3096068,873038,0
0.004,1,0,2,10,1964633.0,2002.0000000000002,3018930,807350,0.0010190198372927667
0.004,1,1,2,10,1976678.0,0.0,2952869,735223,0
0.004,1,2,2,10,1981844.0,0.0,3121259,892479,0
0.004,1,3,2,10,24069.0,0.0,3187550,2916277,0
0.004,1,4,2,10,0.0,0.0,2711622,2470566,0
0.004,1,5,2,10,1982546.0,0.0,2982297,758839,0
0.004,1,6,2,10,1977205.0,0.0,2881092,656845,0
0.004,1,7,2,10,6131.0,2043.6666666666665,3152030,2898768,0.3333333333333333
0.004,1,8,2,10,24207.0,1514.4999999999998,2875006,2609658,0.06256454744495393
